merchant,description,amount,category,date,timestamp
Seminar,UPI Payment - exam fee,10000.0,EDUCATION,2024-05-09,2024-05-09 10:09:56
Chennai Metro,toll payment,50.65,TRANSPORTATION,2024-11-09,2024-11-09 10:09:56
Kolkata Metro,bus ticket,1462.62,TRANSPORTATION,2025-03-18,2025-03-18 10:09:56
Brand Factory,mobile purchase,39486.74,SHOPPING,2025-04-10,2025-04-10 10:09:56
Physiotherapy,diagnostic test,10000.0,HEALTHCARE,2025-01-27,2025-01-27 10:09:56
YouTube Premium,gaming subscription,799.0,ENTERTAINMENT,2024-08-12,2024-08-12 10:09:56
Vijay Sales,medicine purchase,200.0,SHOPPING,2025-03-14,2025-03-14 10:09:56
Local Restaurant,food court payment,500.0,FOOD_DINING,2025-04-12,2025-04-12 10:09:56
Kotak Securities,bond investment,50000.0,INVESTMENT,2025-07-07,2025-07-07 10:09:56
Salon,cash withdrawal,500.0,MISCELLANEOUS,2024-09-17,2024-09-17 10:09:56
Charity,personal care,880.31,MISCELLANEOUS,2024-08-23,2024-08-23 10:09:56
Certification,NEFT Transfer - exam fee,4304.77,EDUCATION,2024-12-09,2024-12-09 10:09:56
Vijay Sales,laptop buying,5000.0,SHOPPING,2024-04-29,2024-04-29 10:09:56
Rapido,ola booking,2000.0,TRANSPORTATION,2024-08-26,2024-08-26 10:09:56
Uniqlo,grocery shopping,3000.0,SHOPPING,2024-10-27,2024-10-27 10:09:56
Courier Service,personal care,2291.37,MISCELLANEOUS,2024-07-05,2024-07-05 10:09:56
Donation India,RTGS Transfer - service fee,2000.0,MISCELLANEOUS,2024-10-20,2024-10-20 10:09:56
BYJU'S,training program,15000.0,EDUCATION,2024-10-01,2024-10-01 10:09:56
SBI Securities,UPI Payment - systematic investment,309049.5,INVESTMENT,2025-07-07,2025-07-07 10:09:56
Biryani Blues,canteen recharge,250.0,FOOD_DINING,2025-10-03,2025-10-03 10:09:56
LocalClinic,RTGS Transfer - diagnostic test,3441.68,HEALTHCARE,2025-01-04,2025-01-04 10:09:56
Behrouz Biryani,mess fees,849.92,FOOD_DINING,2025-06-15,2025-06-15 10:09:56
Gym,Debit Card Payment - eye checkup,500.0,HEALTHCARE,2024-07-24,2024-07-24 10:09:56
Canteen,mess fees,925.18,FOOD_DINING,2024-10-07,2024-10-07 10:09:56
INOX,UPI Payment - streaming subscription,999.0,ENTERTAINMENT,2024-05-12,2024-05-12 10:09:56
Workshop,certification cost,10000.0,EDUCATION,2025-07-18,2025-07-18 10:09:56
Essar,petrol payment,3524.69,TRANSPORTATION,2025-08-23,2025-08-23 10:09:56
Bowling Alley,concert booking,1471.75,ENTERTAINMENT,2024-05-01,2024-05-01 10:09:56
Uniqlo,books order,500.0,SHOPPING,2025-10-04,2025-10-04 10:09:56
Seminar,workshop fee,38152.67,EDUCATION,2025-06-03,2025-06-03 10:09:56
MSEB,Wallet Payment - water bill,3021.2,UTILITIES,2025-08-18,2025-08-18 10:09:56
Amazon Prime,netflix payment,646.43,ENTERTAINMENT,2025-04-24,2025-04-24 10:09:56
Stationery Shop,certification cost,1000.0,EDUCATION,2024-11-30,2024-11-30 10:09:56
Aditya Birla Sun Life,retirement fund,49781.0,INVESTMENT,2025-08-07,2025-08-07 10:09:56
Courier Service Pvt Ltd,other charges,10000.0,MISCELLANEOUS,2024-08-31,2024-08-31 10:09:56
Spa.com,miscellaneous expense,5000.0,MISCELLANEOUS,2024-06-21,2024-06-21 10:09:56
Adani Power,broadband payment,3000.0,UTILITIES,2025-10-05,2025-10-05 10:09:56
BookMyShow,Wallet Payment - show tickets,1444.78,ENTERTAINMENT,2024-07-21,2024-07-21 10:09:56
Sun Direct,internet bill,5000.0,UTILITIES,2024-06-01,2024-06-01 10:09:56
Unacademy,coaching classes,35125.75,EDUCATION,2024-12-10,2024-12-10 10:09:56
Vistara India,parking charges,150.0,TRANSPORTATION,2025-01-16,2025-01-16 10:09:56
Haldirams,breakfast delivery,428.54,FOOD_DINING,2025-04-11,2025-04-11 10:09:56
Airtel,broadband payment,500.0,UTILITIES,2024-10-01,2024-10-01 10:09:56
Grofers,fashion shopping,200.0,SHOPPING,2024-05-09,2024-05-09 10:09:56
Charity,Mobile Banking - cash withdrawal,441.66,MISCELLANEOUS,2025-06-19,2025-06-19 10:09:56
Grofers,NEFT Transfer - home appliances,47571.36,SHOPPING,2024-10-28,2024-10-28 10:09:56
Water Park,prime subscription,999.0,ENTERTAINMENT,2025-03-31,2025-03-31 10:09:56
fun republic,concert booking,1911.23,ENTERTAINMENT,2025-01-31,2025-01-31 10:09:56
Udemy,workshop fee,32617.1,EDUCATION,2024-12-27,2024-12-27 10:09:56
KSEB,phone bill,9744.72,UTILITIES,2024-10-23,2024-10-23 10:09:56
Pharmacy,UPI Payment - eye checkup,5567.71,HEALTHCARE,2024-11-21,2024-11-21 10:09:56
BSNL Store,NEFT Transfer - broadband payment,7653.76,UTILITIES,2025-08-08,2025-08-08 10:09:56
Den Networks,Debit Card Payment - internet bill,2357.99,UTILITIES,2025-05-21,2025-05-21 10:09:56
Eye Specialist Store,physiotherapy,200.0,HEALTHCARE,2024-08-10,2024-08-10 10:09:56
Reliance Digital,RTGS Transfer - cosmetics,5000.0,SHOPPING,2024-12-27,2024-12-27 10:09:56
ATM Withdrawal,Credit Card Payment - tax payment,6681.79,MISCELLANEOUS,2025-03-15,2025-03-15 10:09:56
Dish TV,water bill,4282.53,UTILITIES,2025-02-03,2025-02-03 10:09:56
School Fee,educational material,15000.0,EDUCATION,2025-03-04,2025-03-04 10:09:56
Zerodha,Debit Card Payment - investment,28774.11,INVESTMENT,2025-09-01,2025-09-01 10:09:56
SpiceJet.com,petrol payment,120.0,TRANSPORTATION,2025-10-11,2025-10-11 10:09:56
DSP BlackRock,portfolio investment,5000.0,INVESTMENT,2024-07-31,2024-07-31 10:09:56
tax payment,maintenance,30861.03,MISCELLANEOUS,2025-07-17,2025-07-17 10:09:56
Pathology Lab India,physiotherapy,21787.02,HEALTHCARE,2024-09-23,2024-09-23 10:09:56
Eye Specialist,health insurance,1000.0,HEALTHCARE,2024-08-02,2024-08-02 10:09:56
Local Store,laptop buying,500.0,SHOPPING,2024-09-07,2024-09-07 10:09:56
Uniqlo Ltd,Debit Card Payment - electronics,43801.25,SHOPPING,2024-09-16,2024-09-16 10:09:56
Gaming Zone,Mobile Banking - entertainment,1427.08,ENTERTAINMENT,2024-12-09,2024-12-09 10:09:56
Unacademy,Debit Card Payment - book purchase,2214.37,EDUCATION,2025-01-20,2025-01-20 10:09:56
ICICI Direct,retirement fund,1636.89,INVESTMENT,2025-01-17,2025-01-17 10:09:56
Unacademy,training program,10000.0,EDUCATION,2025-08-23,2025-08-23 10:09:56
Spotify,netflix payment,1285.53,ENTERTAINMENT,2024-08-27,2024-08-27 10:09:56
Behrouz Biryani,food court payment,1791.52,FOOD_DINING,2025-08-20,2025-08-20 10:09:56
Sony LIV,Net Banking - entertainment,1474.87,ENTERTAINMENT,2025-06-09,2025-06-09 10:09:56
HP Petrol,Mobile Banking - toll payment,4611.75,TRANSPORTATION,2025-06-21,2025-06-21 10:09:56
PVR Cinemas Store,Net Banking - movie ticket,999.0,ENTERTAINMENT,2025-10-04,2025-10-04 10:09:56
BookMyShow,streaming subscription,399.0,ENTERTAINMENT,2025-01-20,2025-01-20 10:09:56
Family Doctor,UPI Payment - medicine purchase,24792.91,HEALTHCARE,2025-02-16,2025-02-16 10:09:56
Mess Payment,Mobile Banking - weekend dining,300.0,FOOD_DINING,2025-03-25,2025-03-25 10:09:56
Fortis Hospital,pharmacy,2000.0,HEALTHCARE,2024-11-27,2024-11-27 10:09:56
Zerodha,Mobile Banking - mutual fund SIP,1000.0,INVESTMENT,2025-02-15,2025-02-15 10:09:56
Unacademy,tuition fee,2000.0,EDUCATION,2024-07-09,2024-07-09 10:09:56
Pantaloons,Net Banking - clothes purchase,3457.1,SHOPPING,2025-01-20,2025-01-20 10:09:56
Uniqlo,mobile purchase,22146.38,SHOPPING,2025-10-02,2025-10-02 10:09:56
Electronics Shop,household items,3000.0,SHOPPING,2025-07-24,2025-07-24 10:09:56
Sagar Ratna Pvt Ltd,breakfast delivery,104.98,FOOD_DINING,2024-08-13,2024-08-13 10:09:56
Auto Driver Ltd,monthly pass,150.0,TRANSPORTATION,2024-08-12,2024-08-12 10:09:56
Online Course,workshop fee,53347.29,EDUCATION,2025-07-06,2025-07-06 10:09:56
Behrouz Biryani,Wallet Payment - snacks order,500.0,FOOD_DINING,2024-04-26,2024-04-26 10:09:56
Coaching Center,coaching classes,1489.77,EDUCATION,2025-01-07,2025-01-07 10:09:56
HealthInsurance,RTGS Transfer - medical emergency,16291.09,HEALTHCARE,2024-05-17,2024-05-17 10:09:56
Government Services,repair work,10446.51,MISCELLANEOUS,2024-09-20,2024-09-20 10:09:56
Certification,QR Code Payment - course fee,25000.0,EDUCATION,2024-06-16,2024-06-16 10:09:56
University,Credit Card Payment - training program,1000.0,EDUCATION,2024-08-24,2024-08-24 10:09:56
Postal Service,RTGS Transfer - service fee,27045.32,MISCELLANEOUS,2024-06-23,2024-06-23 10:09:56
Life Insurance,investment,38287.29,INVESTMENT,2025-05-05,2025-05-05 10:09:56
Auto Driver,Debit Card Payment - train ticket,106.29,TRANSPORTATION,2025-07-18,2025-07-18 10:09:56
Photography,donation,1000.0,MISCELLANEOUS,2024-04-27,2024-04-27 10:09:56
ALTBalaji,gaming,171.0,ENTERTAINMENT,2025-10-05,2025-10-05 10:09:56
Gym,diagnostic test,10000.0,HEALTHCARE,2025-01-16,2025-01-16 10:09:56
Max Hospital,medical emergency,500.0,HEALTHCARE,2025-08-08,2025-08-08 10:09:56
Donation,government fee,33116.93,MISCELLANEOUS,2025-03-11,2025-03-11 10:09:56
Brand Factory,laptop buying,22436.21,SHOPPING,2024-10-07,2024-10-07 10:09:56
FreshMenu,canteen recharge,200.0,FOOD_DINING,2025-01-06,2025-01-06 10:09:56
Subway,NEFT Transfer - food delivery,1183.07,FOOD_DINING,2024-05-26,2024-05-26 10:09:56
Wellness Center,physiotherapy,500.0,HEALTHCARE,2024-09-05,2024-09-05 10:09:56
Franklin Templeton,investment,100000.0,INVESTMENT,2025-03-28,2025-03-28 10:09:56
Event Management,cash withdrawal,116.64,MISCELLANEOUS,2024-06-29,2024-06-29 10:09:56
Essar,Wallet Payment - fuel refill,4295.9,TRANSPORTATION,2024-09-09,2024-09-09 10:09:56
AIIMS,Mobile Banking - medical emergency,5151.7,HEALTHCARE,2024-05-06,2024-05-06 10:09:56
INOX,concert booking,919.34,ENTERTAINMENT,2024-07-02,2024-07-02 10:09:56
Vijay Sales,laptop buying,3433.09,SHOPPING,2024-10-11,2024-10-11 10:09:56
Cinema Hall,music subscription,1499.0,ENTERTAINMENT,2025-06-22,2025-06-22 10:09:56
Event Management,personal care,10748.06,MISCELLANEOUS,2025-02-21,2025-02-21 10:09:56
Printing,Credit Card Payment - personal care,500.0,MISCELLANEOUS,2024-05-22,2024-05-22 10:09:56
Book Store,school fee,1000.0,EDUCATION,2025-01-14,2025-01-14 10:09:56
Zerodha,Wallet Payment - tax saving investment,154923.74,INVESTMENT,2025-01-06,2025-01-06 10:09:56
Salon,QR Code Payment - service charges,10000.0,MISCELLANEOUS,2024-10-13,2024-10-13 10:09:56
ICICI Direct,investment,25476.07,INVESTMENT,2025-06-04,2025-06-04 10:09:56
Medical Store,medicine purchase,2000.0,HEALTHCARE,2025-04-24,2025-04-24 10:09:56
University,course fee,7928.43,EDUCATION,2025-09-02,2025-09-02 10:09:56
MX Player,movie ticket,149.0,ENTERTAINMENT,2024-05-19,2024-05-19 10:09:56
Seminar,training program,5000.0,EDUCATION,2025-04-08,2025-04-08 10:09:56
YouTube Premium,UPI Payment - streaming subscription,499.0,ENTERTAINMENT,2024-05-12,2024-05-12 10:09:56
Swiggy,dinner payment,390.29,FOOD_DINING,2025-08-17,2025-08-17 10:09:56
upstox,IMPS Payment - investment,17197.57,INVESTMENT,2024-04-25,2024-04-25 10:09:56
Pantaloons Store,NEFT Transfer - grocery shopping,5000.0,SHOPPING,2024-12-10,2024-12-10 10:09:56
Airtel,Debit Card Payment - phone bill,1642.31,UTILITIES,2025-08-01,2025-08-01 10:09:56
INOX,movie ticket,399.0,ENTERTAINMENT,2025-02-03,2025-02-03 10:09:56
Local Store India,mobile purchase,500.0,SHOPPING,2025-04-30,2025-04-30 10:09:56
Training,Wallet Payment - school fee,10000.0,EDUCATION,2025-10-04,2025-10-04 10:09:56
Vi,dth recharge,1500.0,UTILITIES,2024-09-30,2024-09-30 10:09:56
Dental Clinic,QR Code Payment - pharmacy,500.0,HEALTHCARE,2024-07-29,2024-07-29 10:09:56
Voot,RTGS Transfer - gaming subscription,222.85,ENTERTAINMENT,2025-02-24,2025-02-24 10:09:56
WBSEDCL,dth recharge,5905.57,UTILITIES,2024-08-30,2024-08-30 10:09:56
Legal Services,gift purchase,2000.0,MISCELLANEOUS,2025-06-06,2025-06-06 10:09:56
Certification,IMPS Payment - exam fee,10000.0,EDUCATION,2025-10-12,2025-10-12 10:09:56
Seminar,certification cost,25000.0,EDUCATION,2024-06-11,2024-06-11 10:09:56
Seminar,Credit Card Payment - book purchase,14325.44,EDUCATION,2025-01-04,2025-01-04 10:09:56
Apollo Hospital Ltd,medical checkup,3000.0,HEALTHCARE,2025-03-30,2025-03-30 10:09:56
Uniqlo,RTGS Transfer - electronics,5054.4,SHOPPING,2024-08-20,2024-08-20 10:09:56
Book Store Pvt Ltd,grocery shopping,40864.84,SHOPPING,2024-09-30,2024-09-30 10:09:56
Postal Service,miscellaneous expense,10000.0,MISCELLANEOUS,2025-01-24,2025-01-24 10:09:56
Air India,Credit Card Payment - metro recharge,300.0,TRANSPORTATION,2025-04-07,2025-04-07 10:09:56
Photography,donation,41300.95,MISCELLANEOUS,2024-06-16,2024-06-16 10:09:56
Upstox,retirement fund,49793.9,INVESTMENT,2025-01-27,2025-01-27 10:09:56
IOCL,auto fare,1000.0,TRANSPORTATION,2025-02-17,2025-02-17 10:09:56
SBI Mutual Fund,bond investment,82801.18,INVESTMENT,2024-05-21,2024-05-21 10:09:56
Ola,fuel refill,80.0,TRANSPORTATION,2024-08-07,2024-08-07 10:09:56
Biryani Blues,canteen recharge,150.0,FOOD_DINING,2025-06-24,2025-06-24 10:09:56
Salon,miscellaneous expense,5000.0,MISCELLANEOUS,2025-03-28,2025-03-28 10:09:56
Vijay Sales,clothes purchase,36940.77,SHOPPING,2025-09-03,2025-09-03 10:09:56
Local Store,home appliances,1500.0,SHOPPING,2025-02-11,2025-02-11 10:09:56
Wedding Expenses,government fee,1000.0,MISCELLANEOUS,2025-01-18,2025-01-18 10:09:56
Zee5,QR Code Payment - gaming subscription,799.0,ENTERTAINMENT,2024-05-03,2024-05-03 10:09:56
ICICI Direct,bond investment,2000.0,INVESTMENT,2024-08-30,2024-08-30 10:09:56
Lifestyle,laptop buying,10000.0,SHOPPING,2025-05-22,2025-05-22 10:09:56
IOCL,train ticket,1014.62,TRANSPORTATION,2025-06-15,2025-06-15 10:09:56
Seminar,coaching classes,58403.74,EDUCATION,2025-09-30,2025-09-30 10:09:56
Amazon,grocery shopping,40711.34,SHOPPING,2025-07-23,2025-07-23 10:09:56
Pantaloons,books order,200.0,SHOPPING,2024-04-29,2024-04-29 10:09:56
Kotak Securities,NEFT Transfer - portfolio investment,5000.0,INVESTMENT,2024-08-23,2024-08-23 10:09:56
Courier Service,Debit Card Payment - other charges,18944.57,MISCELLANEOUS,2025-01-06,2025-01-06 10:09:56
Sony LIV,netflix payment,216.76,ENTERTAINMENT,2025-06-08,2025-06-08 10:09:56
Dental Clinic,health insurance,5098.97,HEALTHCARE,2024-06-28,2024-06-28 10:09:56
Vistara,auto fare,3197.01,TRANSPORTATION,2024-09-24,2024-09-24 10:09:56
Repair Service.com,personal care,10448.18,MISCELLANEOUS,2025-08-16,2025-08-16 10:09:56
Seminar,coaching classes,25000.0,EDUCATION,2025-02-23,2025-02-23 10:09:56
Maintenance,broadband payment,2000.0,UTILITIES,2025-06-16,2025-06-16 10:09:56
Repair Service,government fee,14191.7,MISCELLANEOUS,2024-10-04,2024-10-04 10:09:56
Adventure Park,prime subscription,999.0,ENTERTAINMENT,2025-10-08,2025-10-08 10:09:56
Seminar,course fee,1000.0,EDUCATION,2025-05-06,2025-05-06 10:09:56
Flipkart,mobile buy,11905.13,SHOPPING,2025-04-30,2025-04-30 10:09:56
Hathway,society dues,3813.92,UTILITIES,2025-08-10,2025-08-10 10:09:56
BigBasket,fashion shopping,15000.0,SHOPPING,2025-07-22,2025-07-22 10:09:56
HDFC Securities,Net Banking - retirement fund,212595.55,INVESTMENT,2024-11-05,2024-11-05 10:09:56
Food Court,Credit Card Payment - breakfast delivery,1526.79,FOOD_DINING,2025-09-16,2025-09-16 10:09:56
Event Management,service fee,10598.98,MISCELLANEOUS,2025-06-17,2025-06-17 10:09:56
BSES,maintenance charges,4524.6,UTILITIES,2025-05-10,2025-05-10 10:09:56
Sony LIV Pvt Ltd,NEFT Transfer - music subscription,764.97,ENTERTAINMENT,2024-10-31,2024-10-31 10:09:56
Tuition Teacher Pvt Ltd,online course,2221.78,EDUCATION,2024-11-19,2024-11-19 10:09:56
Starbucks,office lunch,400.0,FOOD_DINING,2024-12-02,2024-12-02 10:09:56
BookMyShow,NEFT Transfer - entertainment,1186.26,ENTERTAINMENT,2025-07-26,2025-07-26 10:09:56
AIIMS,dental treatment,6372.31,HEALTHCARE,2025-06-15,2025-06-15 10:09:56
Supermarket,RTGS Transfer - home appliances,8723.92,SHOPPING,2025-04-26,2025-04-26 10:09:56
DTC,Wallet Payment - fuel refill,1115.53,TRANSPORTATION,2024-06-17,2024-06-17 10:09:56
kseb,Debit Card Payment - broadband payment,4265.35,UTILITIES,2024-12-14,2024-12-14 10:09:56
Hathway,dth recharge,6125.56,UTILITIES,2024-04-22,2024-04-22 10:09:56
BPCL,toll payment,85.79,TRANSPORTATION,2025-08-15,2025-08-15 10:09:56
INOX,music subscription,499.0,ENTERTAINMENT,2024-09-07,2024-09-07 10:09:56
Pantaloons.com,NEFT Transfer - books order,3000.0,SHOPPING,2024-05-29,2024-05-29 10:09:56
Netflix,RTGS Transfer - netflix pymnt,999.0,ENTERTAINMENT,2025-05-02,2025-05-02 10:09:56
SBI Securities.com,tax saving investment,9692.18,INVESTMENT,2024-11-20,2024-11-20 10:09:56
Physiotherapy,physiotherapy,10000.0,HEALTHCARE,2025-05-10,2025-05-10 10:09:56
Nykaa,fashion shopping,200.0,SHOPPING,2025-04-15,2025-04-15 10:09:56
WBSEDCL,NEFT Transfer - cable bill,1174.17,UTILITIES,2025-09-10,2025-09-10 10:09:56
Amazon,IMPS Payment - books order,12263.14,SHOPPING,2025-04-24,2025-04-24 10:09:56
Salon,Credit Card Payment - service charges,1000.0,MISCELLANEOUS,2025-01-20,2025-01-20 10:09:56
Bus Booking,toll payment,150.0,TRANSPORTATION,2024-12-07,2024-12-07 10:09:56
Indian Railways,fuel refill,150.0,TRANSPORTATION,2024-06-06,2024-06-06 10:09:56
Metro Card,flight booking,2986.92,TRANSPORTATION,2025-08-17,2025-08-17 10:09:56
Udemy,school fee,10479.2,EDUCATION,2024-11-01,2024-11-01 10:09:56
UTI AMC,retirement fund,1000.0,INVESTMENT,2024-05-22,2024-05-22 10:09:56
Charity,other charges,10000.0,MISCELLANEOUS,2024-07-14,2024-07-14 10:09:56
DSP BLACKROCK,Credit Card Payment - share trading,25000.0,INVESTMENT,2024-10-22,2024-10-22 10:09:56
ALTBalaji,prime subscription,199.0,ENTERTAINMENT,2025-04-10,2025-04-10 10:09:56
Dental Clinic,physiotherapy,5437.83,HEALTHCARE,2024-09-26,2024-09-26 10:09:56
Hathway,Debit Card Payment - mobile recharge,1505.44,UTILITIES,2024-08-29,2024-08-29 10:09:56
Certification Pvt Ltd,Credit Card Payment - tuition fee,45805.17,EDUCATION,2024-07-14,2024-07-14 10:09:56
Physiotherapy,Credit Card Payment - physiotherapy,10000.0,HEALTHCARE,2025-06-11,2025-06-11 10:09:56
Punjabi Tadka,breakfast delivery,150.0,FOOD_DINING,2024-07-01,2024-07-01 10:09:56
Dominos,Wallet Payment - snacks order,1149.81,FOOD_DINING,2024-05-05,2024-05-05 10:09:56
BookMyShow,netflix payment,1372.37,ENTERTAINMENT,2025-01-21,2025-01-21 10:09:56
Courier Service,Net Banking - service charges,10000.0,MISCELLANEOUS,2024-05-03,2024-05-03 10:09:56
Municipal Corporation,NEFT Transfer - cable bill,5000.0,UTILITIES,2024-10-08,2024-10-08 10:09:56
Electronics Shop Pvt Ltd,home appliances,500.0,SHOPPING,2024-05-21,2024-05-21 10:09:56
Axis Mutual Fund,systematic investment,25000.0,INVESTMENT,2024-09-15,2024-09-15 10:09:56
ICICI Prudential,stock purchase,60971.02,INVESTMENT,2024-10-15,2024-10-15 10:09:56
Bus Booking,Credit Card Payment - fuel refill,4797.39,TRANSPORTATION,2025-04-21,2025-04-21 10:09:56
Sony LIV Online,music subscription,755.96,ENTERTAINMENT,2025-07-30,2025-07-30 10:09:56
McDonalds,snacks order,1794.94,FOOD_DINING,2024-11-04,2024-11-04 10:09:56
SBI Securities,investment,1000.0,INVESTMENT,2024-07-23,2024-07-23 10:09:56
HDFC Securities,UPI Payment - life insurance premium,115407.7,INVESTMENT,2025-08-15,2025-08-15 10:09:56
HDFC SECURITIES,life insurance premium,10000.0,INVESTMENT,2024-10-15,2024-10-15 10:09:56
REPAIR SERVICE,repair work,7457.59,MISCELLANEOUS,2025-02-19,2025-02-19 10:09:56
TaxPayment,gift purchase,15980.12,MISCELLANEOUS,2025-04-05,2025-04-05 10:09:56
Croma,grocery shopping,10000.0,SHOPPING,2024-11-19,2024-11-19 10:09:56
Unacademy,training program,16601.0,EDUCATION,2025-04-05,2025-04-05 10:09:56
Cinema Hall,prime subscription,186.95,ENTERTAINMENT,2024-12-26,2024-12-26 10:09:56
Zara Store,online shopping,11285.43,SHOPPING,2025-05-23,2025-05-23 10:09:56
Water Park,entertainment,917.55,ENTERTAINMENT,2024-11-21,2024-11-21 10:09:56
Supermarket,IMPS Payment - clothes purchase,1000.0,SHOPPING,2024-07-27,2024-07-27 10:09:56
Fortis Hospital,physiotherapy,10000.0,HEALTHCARE,2024-11-27,2024-11-27 10:09:56
Rapido,cab ride,300.0,TRANSPORTATION,2025-01-18,2025-01-18 10:09:56
BookMyShow,netflix payment,1721.36,ENTERTAINMENT,2025-04-08,2025-04-08 10:09:56
Spa,gift purchase,1000.0,MISCELLANEOUS,2024-08-23,2024-08-23 10:09:56
College Fee,NEFT Transfer - course fee,4664.58,EDUCATION,2025-03-14,2025-03-14 10:09:56
School Fee,online course,2115.93,EDUCATION,2024-11-06,2024-11-06 10:09:56
Reliance Digital,grocery shopping,20108.56,SHOPPING,2024-07-22,2024-07-22 10:09:56
Zee5,concert booking,1168.08,ENTERTAINMENT,2025-09-24,2025-09-24 10:09:56
Water Park,show tickets,548.8,ENTERTAINMENT,2025-03-14,2025-03-14 10:09:56
Cleaning Service,Net Banking - tax payment,977.54,MISCELLANEOUS,2024-06-29,2024-06-29 10:09:56
Fun Republic,Wallet Payment - movie ticket,999.0,ENTERTAINMENT,2024-08-17,2024-08-17 10:09:56
Auto Driver Pvt Ltd,RTGS Transfer - parking charges,150.0,TRANSPORTATION,2024-10-17,2024-10-17 10:09:56
IRCTC,bus ticket,4815.23,TRANSPORTATION,2025-01-29,2025-01-29 10:09:56
Gift Shop,QR Code Payment - miscellaneous expense,5671.93,MISCELLANEOUS,2025-01-15,2025-01-15 10:09:56
Family Doctor,medicine purchase,4292.65,HEALTHCARE,2024-08-15,2024-08-15 10:09:56
Disney+ Hotstar,RTGS Transfer - netflix payment,199.0,ENTERTAINMENT,2024-12-15,2024-12-15 10:09:56
DTC,NEFT Transfer - monthly pass,178.76,TRANSPORTATION,2024-10-01,2024-10-01 10:09:56
Supermarket,electronics,36700.52,SHOPPING,2025-07-17,2025-07-17 10:09:56
Dental Clinic,Credit Card Payment - physiotherapy,5541.87,HEALTHCARE,2024-05-29,2024-05-29 10:09:56
Ajio,IMPS Payment - grocery shopping,1500.0,SHOPPING,2025-03-10,2025-03-10 10:09:56
AIIMS,medical checkup,17930.52,HEALTHCARE,2024-11-29,2024-11-29 10:09:56
Auto Driver,petrol payment,150.0,TRANSPORTATION,2024-05-03,2024-05-03 10:09:56
Aditya Birla Sun Life,portfolio investment,100000.0,INVESTMENT,2025-04-14,2025-04-14 10:09:56
AutoDriver,flight booking,1000.0,TRANSPORTATION,2024-09-10,2024-09-10 10:09:56
University,book purchase,4578.49,EDUCATION,2025-03-23,2025-03-23 10:09:56
Health Insurance,Debit Card Payment - doctor consultation,4002.47,HEALTHCARE,2025-06-12,2025-06-12 10:09:56
ATM Withdrawal,gift purchase,586.07,MISCELLANEOUS,2025-02-15,2025-02-15 10:09:56
ACT Fibernet,IMPS Payment - water bill,1000.0,UTILITIES,2024-06-04,2024-06-04 10:09:56
Air India,petrol payment,1000.0,TRANSPORTATION,2025-07-28,2025-07-28 10:09:56
Rapido,cab ride,656.43,TRANSPORTATION,2024-10-01,2024-10-01 10:09:56
Gift Shop,QR Code Payment - government fee,500.0,MISCELLANEOUS,2025-09-30,2025-09-30 10:09:56
Repair Service,Wallet Payment - cash withdrawal,5000.0,MISCELLANEOUS,2024-11-07,2024-11-07 10:09:56
Vedantu,training program,10000.0,EDUCATION,2024-09-21,2024-09-21 10:09:56
Local Restaurant,canteen rchg,473.8,FOOD_DINING,2025-04-01,2025-04-01 10:09:56
Water Board,electricity bill,2777.64,UTILITIES,2025-08-15,2025-08-15 10:09:56
Max Hospital,NEFT Transfer - diagnostic test,2000.0,HEALTHCARE,2025-08-27,2025-08-27 10:09:56
Event Management,government fee,500.0,MISCELLANEOUS,2024-10-20,2024-10-20 10:09:56
Diagnostic Center,medical emergency,3045.02,HEALTHCARE,2024-10-09,2024-10-09 10:09:56
Eye Specialist India,NEFT Transfer - physiotherapy,5604.53,HEALTHCARE,2025-02-03,2025-02-03 10:09:56
Behrouz Biryani,office lunch,1354.73,FOOD_DINING,2025-03-26,2025-03-26 10:09:56
Exam Fee.com,exam fee,770.76,EDUCATION,2025-08-07,2025-08-07 10:09:56
McDonalds,dinner payment,1900.89,FOOD_DINING,2025-02-02,2025-02-02 10:09:56
Vistara,auto fare,150.0,TRANSPORTATION,2024-06-06,2024-06-06 10:09:56
Book Store,NEFT Transfer - mobile purchase,6581.77,SHOPPING,2025-03-06,2025-03-06 10:09:56
Local Clinic,doctor consultation,1029.09,HEALTHCARE,2024-06-02,2024-06-02 10:09:56
Max Hospital Online,medicine buy,4606.14,HEALTHCARE,2025-08-04,2025-08-04 10:09:56
Printing,government fee,500.0,MISCELLANEOUS,2024-08-19,2024-08-19 10:09:56
University,online course,17644.22,EDUCATION,2024-08-25,2024-08-25 10:09:56
Coaching Center,book purchase,649.63,EDUCATION,2024-09-14,2024-09-14 10:09:56
Pathology Lab,dental treatment,7913.16,HEALTHCARE,2025-02-06,2025-02-06 10:09:56
UDEMY,QR Code Payment - online course,50240.17,EDUCATION,2025-06-10,2025-06-10 10:09:56
Postal Service,cash withdrawal,500.0,MISCELLANEOUS,2025-09-15,2025-09-15 10:09:56
Vi,UPI Payment - water bill,5000.0,UTILITIES,2024-06-13,2024-06-13 10:09:56
Cleaning Service,other charges,1000.0,MISCELLANEOUS,2024-06-12,2024-06-12 10:09:56
SBI Mutual Fund,Net Banking - mutual fund SIP,347529.19,INVESTMENT,2024-07-24,2024-07-24 10:09:56
Metro Card Store,bus ticket,41.37,TRANSPORTATION,2024-11-20,2024-11-20 10:09:56
